Year on List,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Current Context,Max Weeks on List,# of Author Bestsellers
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,11,Milkweed Editions,24,False,Yes,192,192
2020,RUTH BADER GINSBURG: A LIFE,Jane Sherron De Hart,12,Vintage,1,False,Yes,1,1
2020,ON TYRANNY,Timothy Snyder,13,Tim Duggan,75,False,Yes,90,33
2020,MY GRANDMOTHER'S HANDS,Resmaa Menakem,14,Central Recovery,9,False,Yes,29,29
2020,THE TRUTHS WE HOLD,Kamala Harris,15,Penguin,3,False,Yes,19,19
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,11,False,Yes,32,24
2020,WHITE FRAGILITY,Robin DiAngelo,2,Beacon,109,False,Yes,156,83
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,102,False,Yes,269,209
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,4,Seal,20,False,Yes,38,37
2020,STAMPED FROM THE BEGINNING,Ibram X Kendi,5,Bold Type,20,False,Yes,23,21
2020,JUST MERCY,Bryan Stevenson,6,One World,225,False,Yes,309,126
2020,BORN A CRIME,Trevor Noah,7,One World,86,False,Yes,209,165
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,40,False,Yes,76,60
2020,THE COLOR OF LAW,Richard Rothstein,9,Liveright,23,False,Yes,51,47
2020,THE NEW JIM CROW,Michelle Alexander,10,New Press,206,False,Yes,223,37
2020,THE TRUTHS WE HOLD,Kamala Harris,11,Penguin,4,False,Yes,19,19
2020,SAPIENS,Yuval Noah Harari,12,Harper Perennial,113,False,Yes,208,128
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,13,Milkweed Editions,25,False,Yes,192,192
2020,MY GRANDMOTHER'S HANDS,Resmaa Menakem,14,Central Recovery,10,False,Yes,29,29
2020,ON TYRANNY,Timothy Snyder,15,Tim Duggan,76,False,Yes,90,33
2020,WHITE FRAGILITY,Robin DiAngelo,1,Beacon,110,False,Yes,156,83
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster,12,False,Yes,32,24
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,103,False,Yes,269,209
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,4,Seal,21,False,Yes,38,37
2020,JUST MERCY,Bryan Stevenson,5,One World,226,False,Yes,309,126
2020,STAMPED FROM THE BEGINNING,Ibram X Kendi,6,Bold Type,21,False,Yes,23,21
2020,THE TRUTHS WE HOLD,Kamala Harris,7,Penguin,5,False,Yes,19,19
2020,THE COLOR OF LAW,Richard Rothstein,8,Liveright,24,False,Yes,51,47
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,9,Vintage,41,False,Yes,76,60
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions,26,False,Yes,192,192
2020,THE NEW JIM CROW,Michelle Alexander,11,New Press,207,False,Yes,223,37
2020,BORN A CRIME,Trevor Noah,12,One World,87,False,Yes,209,165
2020,ON TYRANNY,Timothy Snyder,13,Tim Duggan,77,False,Yes,90,33
2020,SAPIENS,Yuval Noah Harari,14,Harper Perennial,114,False,Yes,208,128
2020,MY GRANDMOTHER'S HANDS,Resmaa Menakem,15,Central Recovery,11,False,Yes,29,29
2020,WHITE FRAGILITY,Robin DiAngelo,1,Beacon,111,False,Yes,156,83
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster,13,False,Yes,32,24
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,104,False,Yes,269,209
2020,THE COLOR OF LAW,Richard Rothstein,4,Liveright,25,False,Yes,51,47
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,Vintage,42,False,Yes,76,60
2020,JUST MERCY,Bryan Stevenson,6,One World,227,False,Yes,309,126
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,7,Milkweed Editions,27,False,Yes,192,192
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,8,Seal,22,False,Yes,38,37
2020,BORN A CRIME,Trevor Noah,9,One World,88,False,Yes,209,165
2020,THE NEW JIM CROW,Michelle Alexander,10,New Press,208,False,Yes,223,37
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,11,Algonquin,1,False,Yes,11,11
2020,SAPIENS,Yuval Noah Harari,12,Harper Perennial,115,False,Yes,208,128
2020,STAMPED FROM THE BEGINNING,Ibram X Kendi,13,Bold Type,22,False,Yes,23,21
2020,HILLBILLY ELEGY,JD Vance,14,Harper,54,False,Yes,66,16
2020,THE TRUTHS WE HOLD,Kamala Harris,15,Penguin,6,False,Yes,19,19
2020,WHITE FRAGILITY,Robin DiAngelo,1,Beacon,112,False,Yes,156,83
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster,14,False,Yes,32,24
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,105,False,Yes,269,209
2020,THE COLOR OF LAW,Richard Rothstein,4,Liveright,26,False,Yes,51,47
2020,JUST MERCY,Bryan Stevenson,5,One World,228,False,Yes,309,126
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,6,Algonquin,2,False,Yes,11,11
2020,SHADE,Pete Souza,7,"Voracious/Little, Brown",1,False,Yes,6,6
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,43,False,Yes,76,60
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,9,Seal,23,False,Yes,38,37
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions,28,False,Yes,192,192
2020,THE NEW JIM CROW,Michelle Alexander,11,New Press,209,False,Yes,223,37
2020,BORN A CRIME,Trevor Noah,12,One World,89,False,Yes,209,165
2020,SAPIENS,Yuval Noah Harari,13,Harper Perennial,116,False,Yes,208,128
2020,HILLBILLY ELEGY,JD Vance,14,Harper,55,False,Yes,66,16
2020,STAMPED FROM THE BEGINNING,Ibram X Kendi,15,Bold Type,23,False,Yes,23,21
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,15,False,Yes,32,24
2020,WHITE FRAGILITY,Robin DiAngelo,2,Beacon,113,False,Yes,156,83
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,106,False,Yes,269,209
2020,SHADE,Pete Souza,4,"Voracious/Little, Brown",2,False,Yes,6,6
2020,THE COLOR OF LAW,Richard Rothstein,5,Liveright,27,False,Yes,51,47
2020,JUST MERCY,Bryan Stevenson,6,One World,229,False,Yes,309,126
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,7,Algonquin,3,False,Yes,11,11
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,44,False,Yes,76,60
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions,29,False,Yes,192,192
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,10,Seal,24,False,Yes,38,37
2020,THE NEW JIM CROW,Michelle Alexander,11,New Press,210,False,Yes,223,37
2020,BORN A CRIME,Trevor Noah,12,One World,90,False,Yes,209,165
2020,SAPIENS,Yuval Noah Harari,13,Harper Perennial,117,False,Yes,208,128
2020,THE SOUL OF AMERICA,Jon Meacham,14,Random House,6,False,Yes,7,2
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,15,"Farrar, Straus & Giroux",253,False,No,386,157
2020,WHITE FRAGILITY,Robin DiAngelo,1,Beacon,114,False,Yes,156,83
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster,16,False,Yes,32,24
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,107,False,Yes,269,209
2020,SHADE,Pete Souza,4,"Voracious/Little, Brown",3,False,Yes,6,6
2020,THE COLOR OF LAW,Richard Rothstein,5,Liveright,28,False,Yes,51,47
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage,45,False,Yes,76,60
2020,THE TRUTHS WE HOLD,Kamala Harris,7,Penguin,7,False,Yes,19,19
2020,CONVERSATIONS WITH RBG,Jeffrey Rosen,8,Picador,1,False,Yes,1,1
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions,30,False,Yes,192,192
2020,JUST MERCY,Bryan Stevenson,10,One World,230,False,Yes,309,126
2020,THE NEW JIM CROW,Michelle Alexander,11,New Press,211,False,Yes,223,37
2020,LEAD FROM THE OUTSIDE,Stacey Abrams,12,Picador,6,False,Yes,14,9
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal,25,False,Yes,38,37
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,14,Algonquin,4,False,Yes,11,11
2020,BORN A CRIME,Trevor Noah,15,One World,91,False,Yes,209,165
2020,THE TRUTHS WE HOLD,Kamala Harris,1,Penguin,8,False,Yes,19,19
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster,17,False,Yes,32,24
2020,LEAD FROM THE OUTSIDE,Stacey Abrams,3,Picador,7,False,Yes,14,9
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin,108,False,Yes,269,209
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,115,False,Yes,156,83
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,6,Algonquin,5,False,Yes,11,11
2020,SHADE,Pete Souza,7,"Voracious/Little, Brown",4,False,Yes,6,6
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,46,False,Yes,76,60
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions,31,False,Yes,192,192
2020,THE SOUL OF AMERICA,Jon Meacham,10,Random House,7,False,Yes,7,2
2020,THE COLOR OF LAW,Richard Rothstein,11,Liveright,29,False,Yes,51,47
2020,"PROMISE ME, DAD",Joe Biden,12,Flatiron,2,False,Yes,2,1
2020,THE NEW JIM CROW,Michelle Alexander,13,New Press,212,False,Yes,223,37
2020,BORN A CRIME,Trevor Noah,14,One World,92,False,Yes,209,165
2020,SAPIENS,Yuval Noah Harari,15,Harper Perennial,118,False,Yes,208,128
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,18,False,Yes,32,24
2020,NO ONE ASKED FOR THIS,Cazzie David,2,Mariner,1,False,Yes,1,1
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,109,False,Yes,269,209
2020,THE TRUTHS WE HOLD,Kamala Harris,4,Penguin,9,False,Yes,19,19
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,116,False,Yes,156,83
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,6,Milkweed Editions,32,False,Yes,192,192
2020,SHADE,Pete Souza,7,"Voracious/Little, Brown",5,False,Yes,6,6
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,47,False,Yes,76,60
2020,SAPIENS,Yuval Noah Harari,9,Harper Perennial,119,False,Yes,208,128
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,10,Algonquin,6,False,Yes,11,11
2020,BORN A CRIME,Trevor Noah,11,One World,93,False,Yes,209,165
2020,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,12,Seal,26,False,Yes,38,37
2020,LEAD FROM THE OUTSIDE,Stacey Abrams,13,Picador,8,False,Yes,14,9
2020,THE COLOR OF LAW,Richard Rothstein,14,Liveright,30,False,Yes,51,47
2020,DREAMS FROM MY FATHER,Barack Obama,15,Crown,157,False,Yes,157,1
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,19,False,Yes,32,24
2020,HILLBILLY ELEGY,JD Vance,2,Harper,56,False,Yes,66,16
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,110,False,Yes,269,209
2020,THE TRUTHS WE HOLD,Kamala Harris,4,Penguin,10,False,Yes,19,19
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions,33,False,Yes,192,192
2020,WHITE FRAGILITY,Robin DiAngelo,6,Beacon,117,False,Yes,156,83
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,7,Vintage,48,False,Yes,76,60
2020,SAPIENS,Yuval Noah Harari,8,Harper Perennial,120,False,Yes,208,128
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,9,Algonquin,7,False,Yes,11,11
2020,BORN A CRIME,Trevor Noah,10,One World,94,False,Yes,209,165
2020,SHADE,Pete Souza,11,"Voracious/Little, Brown",6,False,Yes,6,6
2020,THE COLOR OF LAW,Richard Rothstein,12,Liveright,31,False,Yes,51,47
2020,LEAD FROM THE OUTSIDE,Stacey Abrams,13,Picador,9,False,Yes,14,9
2020,THE NEW JIM CROW,Michelle Alexander,14,New Press,213,False,Yes,223,37
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,15,"Farrar, Straus & Giroux",254,False,No,386,157
2020,HILLBILLY ELEGY,JD Vance,1,Harper,57,False,Yes,66,16
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster,20,False,Yes,32,24
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions,34,False,Yes,192,192
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin,111,False,Yes,269,209
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,Vintage,49,False,Yes,76,60
2020,THE TRUTHS WE HOLD,Kamala Harris,6,Penguin,11,False,Yes,19,19
2020,SAPIENS,Yuval Noah Harari,7,Harper Perennial,121,False,Yes,208,128
2020,WHITE FRAGILITY,Robin DiAngelo,8,Beacon,118,False,Yes,156,83
2020,BORN A CRIME,Trevor Noah,9,One World,95,False,Yes,209,165
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,10,Algonquin,8,False,Yes,11,11
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",255,False,No,386,157
2020,THE SPY AND THE TRAITOR,Ben Macintyre,12,Broadway,7,False,No,14,18
2020,THE COLOR OF LAW,Richard Rothstein,13,Liveright,32,False,Yes,51,47
2020,EDISON,Edmund Morris,14,Random House,1,False,Yes,3,3
2020,JUST MERCY,Bryan Stevenson,15,One World,231,False,Yes,309,126
2020,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,21,False,Yes,32,24
2020,HILLBILLY ELEGY,JD Vance,2,Harper,58,False,Yes,66,16
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,112,False,Yes,269,209
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions,35,False,Yes,192,192
2020,SAPIENS,Yuval Noah Harari,5,Harper Perennial,122,False,Yes,208,128
2020,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage,50,False,Yes,76,60
2020,THE TRUTHS WE HOLD,Kamala Harris,7,Penguin,12,False,Yes,19,19
2020,BORN A CRIME,Trevor Noah,8,One World,96,False,Yes,209,165
2020,JUST MERCY,Bryan Stevenson,9,One World,232,False,Yes,309,126
2020,A WOMAN OF NO IMPORTANCE,Sonia Purnell,10,Penguin,12,False,Yes,17,17
2020,WHITE FRAGILITY,Robin DiAngelo,11,Beacon,119,False,Yes,156,83
2020,WHAT UNITES US,Dan Rather and Elliot Kirschner,12,Algonquin,9,False,Yes,11,11
2020,THE SPY AND THE TRAITOR,Ben Macintyre,13,Broadway,8,False,No,14,18
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,14,"Farrar, Straus & Giroux",256,False,No,386,157
2020,THE COLOR OF LAW,Richard Rothstein,15,Liveright,33,False,Yes,51,47
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,22,False,Yes,32,24
2021,HILLBILLY ELEGY,JD Vance,2,Harper,59,False,Yes,66,16
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,113,False,Yes,269,209
2021,SAPIENS,Yuval Noah Harari,4,Harper Perennial,123,False,Yes,208,128
2021,THE TRUTHS WE HOLD,Kamala Harris,5,Penguin,13,False,Yes,19,19
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage,51,False,Yes,76,60
2021,BORN A CRIME,Trevor Noah,7,One World,97,False,Yes,209,165
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,8,Milkweed Editions,36,False,Yes,192,192
2021,WHAT UNITES US,Dan Rather and Elliot Kirschner,9,Algonquin,10,False,Yes,11,11
2021,A WOMAN OF NO IMPORTANCE,Sonia Purnell,10,Penguin,13,False,Yes,17,17
2021,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",257,False,No,386,157
2021,WHITE FRAGILITY,Robin DiAngelo,12,Beacon,120,False,Yes,156,83
2021,JUST MERCY,Bryan Stevenson,13,One World,233,False,Yes,309,126
2021,THE COLOR OF LAW,Richard Rothstein,14,Liveright,34,False,Yes,51,47
2021,EDISON,Edmund Morris,15,Random House,2,False,Yes,3,3
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster,23,False,Yes,32,24
2021,HILLBILLY ELEGY,JD Vance,2,Harper,60,False,Yes,66,16
2021,THE TRUTHS WE HOLD,Kamala Harris,3,Penguin,14,False,Yes,19,19
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin,114,False,Yes,269,209
2021,SAPIENS,Yuval Noah Harari,5,Harper Perennial,124,False,Yes,208,128
2021,BORN A CRIME,Trevor Noah,6,One World,98,False,Yes,209,165
2021,WHITE FRAGILITY,Robin DiAngelo,7,Beacon,121,False,Yes,156,83
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,52,False,Yes,76,60
2021,JUST MERCY,Bryan Stevenson,9,One World,234,False,Yes,309,126
2021,WHAT UNITES US,Dan Rather and Elliot Kirschner,10,Algonquin,11,False,Yes,11,11
2021,A WOMAN OF NO IMPORTANCE,Sonia Purnell,11,Penguin,14,False,Yes,17,17
2021,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux",258,False,No,386,157
2021,EDISON,Edmund Morris,13,Random House,3,False,Yes,3,3
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,14,Milkweed Editions,37,False,Yes,192,192
2021,THE NEW JIM CROW,Michelle Alexander,15,New Press,214,False,Yes,223,37
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin,115,False,Yes,269,209
2021,HILLBILLY ELEGY,JD Vance,2,Harper,61,False,Yes,66,16
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,3,Simon & Schuster,24,False,Yes,32,24
2021,SAPIENS,Yuval Noah Harari,4,Harper Perennial,125,False,Yes,208,128
2021,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,122,False,Yes,156,83
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage,53,False,Yes,76,60
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,7,Milkweed Editions,38,False,Yes,192,192
2021,THE SPY AND THE TRAITOR,Ben Macintyre,8,Broadway,9,False,No,14,18
2021,BORN A CRIME,Trevor Noah,9,One World,99,False,Yes,209,165
2021,JUST MERCY,Bryan Stevenson,10,One World,235,False,Yes,309,126
2021,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",259,False,No,386,157
2021,THE NEW JIM CROW,Michelle Alexander,12,New Press,215,False,Yes,223,37
2021,HOW TO DO NOTHING,Jenny Odell,13,Melville House,1,False,Yes,1,1
2021,THE TRUTHS WE HOLD,Kamala Harris,14,Penguin,15,False,Yes,19,19
2021,THE POWER OF HABIT,Charles Duhigg,15,Random House,129,False,Yes,131,3
2021,ON TYRANNY,Timothy Snyder,1,Tim Duggan,78,False,Yes,90,33
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,116,False,Yes,269,209
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions,39,False,Yes,192,192
2021,WHITE FRAGILITY,Robin DiAngelo,4,Beacon,123,False,Yes,156,83
2021,HILLBILLY ELEGY,JD Vance,5,Harper,62,False,Yes,66,16
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,6,Simon & Schuster,25,False,Yes,32,24
2021,SAPIENS,Yuval Noah Harari,7,Harper Perennial,126,False,Yes,208,128
2021,JUST MERCY,Bryan Stevenson,8,One World,236,False,Yes,309,126
2021,BORN A CRIME,Trevor Noah,9,One World,100,False,Yes,209,165
2021,LEAD FROM THE OUTSIDE,Stacey Abrams,10,Picador,10,False,Yes,14,9
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,11,Vintage,54,False,Yes,76,60
2021,THE NEW JIM CROW,Michelle Alexander,12,New Press,216,False,Yes,223,37
2021,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal,27,False,Yes,38,37
2021,THE COLOR OF LAW,Richard Rothstein,14,Liveright,35,False,Yes,51,47
2021,"THINKING, FAST AND SLOW",Daniel Kahneman,15,"Farrar, Straus & Giroux",260,False,No,386,157
2021,ON TYRANNY,Timothy Snyder,1,Tim Duggan,79,False,Yes,90,33
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,117,False,Yes,269,209
2021,WHITE FRAGILITY,Robin DiAngelo,3,Beacon,124,False,Yes,156,83
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions,40,False,Yes,192,192
2021,HILLBILLY ELEGY,JD Vance,5,Harper,63,False,Yes,66,16
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,6,Simon & Schuster,26,False,Yes,32,24
2021,BORN A CRIME,Trevor Noah,7,One World,101,False,Yes,209,165
2021,THE NEW JIM CROW,Michelle Alexander,8,New Press,217,False,Yes,223,37
2021,JUST MERCY,Bryan Stevenson,9,One World,237,False,Yes,309,126
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,10,Vintage,55,False,Yes,76,60
2021,SAPIENS,Yuval Noah Harari,11,Harper Perennial,127,False,Yes,208,128
2021,LEAD FROM THE OUTSIDE,Stacey Abrams,12,Picador,11,False,Yes,14,9
2021,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal,28,False,Yes,38,37
2021,THE COLOR OF LAW,Richard Rothstein,14,Liveright,36,False,Yes,51,47
2021,MY GRANDMOTHER'S HANDS,Resmaa Menakem,15,Central Recovery,12,False,Yes,29,29
2021,ON TYRANNY,Timothy Snyder,1,Tim Duggan,80,False,Yes,90,33
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,118,False,Yes,269,209
2021,THE TRUTHS WE HOLD,Kamala Harris,3,Penguin,16,False,Yes,19,19
2021,WHITE FRAGILITY,Robin DiAngelo,4,Beacon,125,False,Yes,156,83
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions,41,False,Yes,192,192
2021,HILLBILLY ELEGY,JD Vance,6,Harper,64,False,Yes,66,16
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,7,Simon & Schuster,27,False,Yes,32,24
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage,56,False,Yes,76,60
2021,BORN A CRIME,Trevor Noah,9,One World,102,False,Yes,209,165
2021,THE NEW JIM CROW,Michelle Alexander,10,New Press,218,False,Yes,223,37
2021,JUST MERCY,Bryan Stevenson,11,One World,238,False,Yes,309,126
2021,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,12,Seal,29,False,Yes,38,37
2021,SAPIENS,Yuval Noah Harari,13,Harper Perennial,128,False,Yes,208,128
2021,THE COLOR OF LAW,Richard Rothstein,14,Liveright,37,False,Yes,51,47
2021,LEAD FROM THE OUTSIDE,Stacey Abrams,15,Picador,12,False,Yes,14,9
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin,119,False,Yes,269,209
2021,WHITE FRAGILITY,Robin DiAngelo,2,Beacon,126,False,Yes,156,83
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions,42,False,Yes,192,192
2021,ON TYRANNY,Timothy Snyder,4,Tim Duggan,81,False,Yes,90,33
2021,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,5,Seal,30,False,Yes,38,37
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage,57,False,Yes,76,60
2021,THE TRUTHS WE HOLD,Kamala Harris,7,Penguin,17,False,Yes,19,19
2021,BORN A CRIME,Trevor Noah,8,One World,103,False,Yes,209,165
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,9,Simon & Schuster,28,False,Yes,32,24
2021,JUST MERCY,Bryan Stevenson,10,One World,239,False,Yes,309,126
2021,THE NEW JIM CROW,Michelle Alexander,11,New Press,219,False,Yes,223,37
2021,SAPIENS,Yuval Noah Harari,12,Harper Perennial,129,False,Yes,208,128
2021,LEAD FROM THE OUTSIDE,Stacey Abrams,13,Picador,13,False,Yes,14,9
2021,THE COLOR OF LAW,Richard Rothstein,14,Liveright,38,False,Yes,51,47
2021,THE BODY,Bill Bryson,15,Anchor,1,False,Yes,12,12
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin,120,False,Yes,269,209
2021,WHITE FRAGILITY,Robin DiAngelo,2,Beacon,127,False,Yes,156,83
2021,THE BODY,Bill Bryson,3,Anchor,2,False,Yes,12,12
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,4,Vintage,58,False,Yes,76,60
2021,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,5,Simon & Schuster,29,False,Yes,32,24
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,6,Milkweed Editions,43,False,Yes,192,192
2021,BORN A CRIME,Trevor Noah,7,One World,104,False,Yes,209,165
2021,ON TYRANNY,Timothy Snyder,8,Tim Duggan,82,False,Yes,90,33
2021,THE COLOR OF LAW,Richard Rothstein,9,Liveright,39,False,Yes,51,47
2021,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,10,Seal,31,False,Yes,38,37
2021,THE NEW JIM CROW,Michelle Alexander,11,New Press,220,False,Yes,223,37
2021,JUST MERCY,Bryan Stevenson,12,One World,240,False,Yes,309,126
2021,THE TRUTHS WE HOLD,Kamala Harris,13,Penguin,18,False,Yes,19,19
2021,LEAD FROM THE OUTSIDE,Stacey Abrams,14,Picador,14,False,Yes,14,9
2021,SAPIENS,Yuval Noah Harari,15,Harper Perennial,130,False,Yes,208,128
2021,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin,121,False,Yes,269,209
2021,WHITE FRAGILITY,Robin DiAngelo,2,Beacon,128,False,Yes,156,83
2021,THE BODY,Bill Bryson,3,Anchor,3,False,Yes,12,12
2021,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions,44,False,Yes,192,192
2021,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,Vintage,59,False,Yes,76,60
