Title,Author,Publication Date,Publication Season,Goodreads URL,Awards Count,Rating
STOLEN FOCUS,Johann Hari,2023-01-24,Spring,https://www.goodreads.com/book/show/63376546-stolen-focus,2.0,4.24
THE NINETIES,Chuck Klosterman,2023-01-31,Spring,https://www.goodreads.com/book/show/63072377-the-nineties,1.0,3.87
WE DON'T KNOW OURSELVES,Fintan O'Toole,2022,Fall,https://www.goodreads.com/book/show/56769525-we-don-t-know-ourselves?from_search=true&from_srp=true&qid=swQ4LKgpoT&rank=1,1.0,4.34
SCATTERED MINDS,Gabor Maté,2023-02-07,Spring,https://www.goodreads.com/book/show/39899253-scattered-minds?from_search=true&from_srp=true&qid=yvtjB3mMIZ&rank=1,0.0,4.31
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,2023-01-31,Spring,,1.0,4.37
CASTE,Isabel Wilkerson,2023-02-14,Spring,https://www.goodreads.com/book/show/63876548-caste,8.0,4.53
WHAT MY BONES KNOW,Stephanie Foo,2023-02-21,Spring,https://www.goodreads.com/book/show/63376548-what-my-bones-know,1.0,4.52
LUCK OF THE DRAW,Frank Murphy,2023-02-28,Spring,https://www.goodreads.com/book/show/60784639-luck-of-the-draw?ref=nav_sb_ss_2_16,0.0,4.2
SOUTH TO AMERICA,Imani Perry,2022-01-25,Spring,https://www.goodreads.com/book/show/55276620-south-to-america?from_search=true&from_srp=true&qid=KHRuy30RNf&rank=1,4.0,3.97
THE ANTHROPOCENE REVIEWED,John Green,2021-05-18,Summer,https://www.goodreads.com/book/show/55145261-the-anthropocene-reviewed?from_search=true&from_srp=true&qid=ZC80X4yWc8&rank=1,0.0,4.36
EVICTED,Matthew Desmond,2017-02-28,Spring,https://www.goodreads.com/book/show/62701845-evicted,8.0,4.47
EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,2020-02-25,Spring,https://www.goodreads.com/book/show/53402128-everything-i-know-about-love,0.0,3.99
CRYING IN H MART,Michelle Zauner,2021-04-20,Spring,https://www.goodreads.com/book/show/75668238-crying-in-h-mart,3.0,4.26
FINDING ME,Viola Davis,2022-04-26,Spring,https://www.goodreads.com/book/show/75490805-finding-me,3.0,4.55
THE DAWN OF EVERYTHING,David Graeber and David Wengrow,2021-11-09,Fall,https://www.goodreads.com/book/show/59808026-the-dawn-of-everything,1.0,4.2
THE LOST CITY OF Z,David Grann,2009-02-24,Spring,https://www.goodreads.com/book/show/3398625-the-lost-city-of-z?ref=nav_sb_ss_1_18,3.0,3.89
THE ESCAPE ARTIST,Jonathan Freedland,2022-10-18,Fall,https://www.goodreads.com/book/show/61281749-the-escape-artist,4.0,4.37
QUIETLY HOSTILE,Samantha Ir,2023-05-16,Summer,https://www.goodreads.com/book/show/62052300-quietly-hostile?from_search=true&from_srp=true&qid=l1TEJUdZKI&rank=1,1.0,3.69
MY LOVE STORY,Tina Turner with Deborah Davis and Dominik Wichmann,2019-09-03,Fall,https://www.goodreads.com/book/show/42202067-my-love-story,0.0,4.17
HAPPY-GO-LUCKY,David Sedaris,2022-05-31,Summer,https://www.goodreads.com/book/show/62874005-happy-go-lucky,3.0,4.17
SOLITO,Javier Zamora,2023-06-06,Summer,https://www.goodreads.com/book/show/59900688-solito?ref=nav_sb_ss_1_6,6.0,4.48
THE BOOK OF DELIGHTS,Ross Gay,2023-09-19,Fall,https://www.goodreads.com/book/show/59892277-the-book-of-delights,0.0,4.15
PAPPYLAND,Wright Thompson,2023-05-30,Summer,https://www.goodreads.com/book/show/53232311-pappyland?from_search=true&from_srp=true&qid=15vm9D2SlP&rank=1,0.0,3.9
AMERICAN PROMETHEUS,Kai Bird and Martin J. Sherwin,2005-04-05,Spring,,5.0,4.32
BITTERSWEET,Susan Cain,2022-04-05,Spring,https://www.goodreads.com/book/show/124019530-bittersweet,1.0,3.97
PRISONERS OF THE CASTLE,Ben Macintyre,2022-09-15,Fall,https://www.goodreads.com/book/show/59883560-prisoners-of-the-castle?from_search=true&from_srp=true&qid=twXCQ1YFuM&rank=1,1.0,4.26
AN IMMENSE WORLD,Ed Yong,2022-06-21,Summer,https://www.goodreads.com/book/show/156479403-an-immense-world,8.0,4.47
STAY TRUE,Hua Hsu,2023-09-12,Fall,https://www.goodreads.com/book/show/60410877-stay-true,3.0,4.02
STRANGERS TO OURSELVES,Rachel Aviv,2022-09-13,Fall,https://www.goodreads.com/book/show/65215637-strangers-to-ourselves,1.0,4.11
AMERICAN DEMON,Daniel Stashower,2022-09-06,Fall,https://www.goodreads.com/book/show/65213445-american-demon,2.0,3.49
ISRAEL,Noa Tish,2021-04-06,Spring,https://www.goodreads.com/book/show/58438530-israel,0.0,4.33
THE BOYS IN THE BOAT,Daniel James Brown,2023-12-05,Fall,https://www.goodreads.com/book/show/18667902-the-boys-in-the-boat,8.0,4.39
THE REVOLUTIONARY,Stacy Schiff,2022-10-25,Fall,https://www.goodreads.com/book/show/60468246-the-revolutionary?from_search=true&from_srp=true&qid=vtbNk6l1WA&rank=1,2.0,3.74
THE SONG OF THE CELL,Siddhartha Mukherjee,2016-05-17,Summer,https://www.goodreads.com/book/show/101159944-the-song-of-the-cell,3.0,4.28
THE STORYTELLER,Dave Grohl,2021-10-05,Fall,https://www.goodreads.com/book/show/90586141-the-storyteller,2.0,4.46
THE LYRICS: 1956 TO THE PRESENT,Paul McCartney,2021-11-02,Fall,https://www.goodreads.com/book/show/80341832-the-lyrics,3.0,4.59
