Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,9,FALSE,Yes
Being Mortal,Atul Gawande,Picador,2020,10,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2020,12,FALSE,Yes
Grit,Angela Duckworth,Scribner,2020,13,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,14,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2020,15,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2,FALSE,Yes
Bad Blood,John Carreyrou,Vintage,2020,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,7,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2020,8,FALSE,No
Grit,Angela Duckworth,Scribner,2020,9,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,10,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
Being Mortal,Atul Gawande,Picador,2020,12,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2020,13,FALSE,Yes
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,14,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2020,15,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,3,FALSE,Yes
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5,FALSE,Yes
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,6,FALSE,No
Born A Crime,Trevor Noah,Spiegel & Grau,2020,7,FALSE,Yes
Why We Sleep,Matthew Walker,Scribner,2020,8,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,9,FALSE,No
Grit,Angela Duckworth,Scribner,2020,10,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
Empire of the Summer Moon,S.C. Gwynne,Scribner,2020,12,FALSE,Yes
Being Mortal,Atul Gawande,Picador,2020,13,FALSE,No
Bad Blood,John Carreyrou,Vintage,2020,14,FALSE,Yes
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,15,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,5,FALSE,Yes
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,6,FALSE,No
Born A Crime,Trevor Noah,Spiegel & Grau,2020,7,FALSE,Yes
Why We Sleep,Matthew Walker,Scribner,2020,8,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9,FALSE,Yes
