Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
The Truths We Hold,Kamala Harris,Penguin,2020,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,5,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,6,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,7,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,8,FALSE,Yes
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,9,FALSE,Yes
Born A Crime,Trevor Noah,One World,2020,10,FALSE,Yes
Shade,Pete Souza,Voracious/Little Brown,2020,11,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2020,12,FALSE,Yes
Lead From the Outside,Stacey Abrams,Picador,2020,13,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2020,14,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,15,FALSE,No
Hillbilly Elegy,J.D. Vance,Harper,2020,1,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,3,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,4,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,5,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2020,6,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,7,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,8,FALSE,Yes
Born A Crime,Trevor Noah,One World,2020,9,FALSE,Yes
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
The Spy and the Traitor,Ben Macintyre,Broadway,2020,12,FALSE,No
The Color of Law,Richard Rothstein,Liveright,2020,13,FALSE,Yes
Edison,Edmund Morris,Random House,2020,14,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2020,15,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,6,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2020,7,FALSE,Yes
Born A Crime,Trevor Noah,One World,2020,8,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2020,9,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,10,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,11,FALSE,Yes
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,12,FALSE,Yes
The Spy and the Traitor,Ben Macintyre,Broadway,2020,13,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,14,FALSE,No
The Color of Law,Richard Rothstein,Liveright,2020,15,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,1,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2021,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,5,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,8,FALSE,Yes
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2021,9,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2021,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,11,FALSE,No
White Fragility,Robin DiAngelo,Beacon,2021,12,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
Edison,Edmund Morris,Random House,2021,15,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,1,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2021,2,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,3,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,5,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,6,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,7,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,8,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,9,FALSE,Yes
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2021,10,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2021,11,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,12,FALSE,No
Edison,Edmund Morris,Random House,2021,13,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,14,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2021,2,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,7,FALSE,Yes
The Spy and the Traitor,Ben Macintyre,Broadway,2021,8,FALSE,No
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,11,FALSE,No
The New Jim Crow,Michelle Alexander,New Press,2021,12,FALSE,Yes
How To Do Nothing,Jenny Odell,Melville House,2021,13,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,14,FALSE,Yes
The Power of Habit,Charles Duhigg,Random House,2021,15,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2021,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,4,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2021,5,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,6,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,7,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,8,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
Lead From the Outside,Stacey Abrams,Picador,2021,10,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,11,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,12,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,15,FALSE,No
On Tyranny,Timothy Snyder,Tim Duggan,2021,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,2,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2021,5,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,8,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,9,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,10,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,11,FALSE,Yes
Lead From the Outside,Stacey Abrams,Picador,2021,12,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,15,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2021,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,2,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,3,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,5,FALSE,Yes
Hillbilly Elegy,J.D. Vance,Harper,2021,6,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,7,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,8,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,10,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,11,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,12,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
Lead From the Outside,Stacey Abrams,Picador,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2021,4,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,5,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,7,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,8,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,9,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,10,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,11,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,12,FALSE,Yes
Lead From the Outside,Stacey Abrams,Picador,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,2,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,3,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,4,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,5,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2021,8,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,9,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,10,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,11,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,12,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,13,FALSE,Yes
Lead From the Outside,Stacey Abrams,Picador,2021,14,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,2,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,5,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,6,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,7,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,8,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,9,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,10,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,11,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,12,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2021,13,FALSE,Yes
The Truths We Hold,Kamala Harris,Penguin,2021,14,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2021,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,4,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,5,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,8,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2021,9,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,10,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,11,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,12,FALSE,Yes
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2021,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,2,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,3,FALSE,No
White Fragility,Robin DiAngelo,Beacon,2021,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,5,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,6,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,7,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,8,FALSE,Yes
We Do This 'Til We Free Us,Mariame Kaba,Haymarket,2021,9,FALSE,Yes
All About Love,bell hooks,Morrow,2021,10,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,11,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,12,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,13,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,14,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,2,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,3,TRUE,No
White Fragility,Robin DiAngelo,Beacon,2021,4,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,5,TRUE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,6,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,7,FALSE,No
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,8,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,9,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,10,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,11,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,12,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,13,FALSE,Yes
The Choice,Edith Eva Eger,Scribner,2021,14,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,2,TRUE,No
Nomadland,Jessica Bruder,Norton,2021,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,8,FALSE,No
Hood Feminism,Mikki Kendall,Penguin,2021,9,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,10,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,11,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,12,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,13,TRUE,Yes
We Do This 'Til We Free Us,Mariame Kaba,Haymarket,2021,14,FALSE,Yes
The Choice,Edith Eva Eger,Scribner,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,2,TRUE,No
Nomadland,Jessica Bruder,Norton,2021,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
Front Row at the Trump Show,Jonathan Karl,Dutton,2021,6,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,8,FALSE,No
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,10,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,11,FALSE,Yes
The Color of Law,Richard Rothstein,Liveright,2021,12,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,13,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,14,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,15,TRUE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,2,TRUE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,5,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,6,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,7,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,8,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,10,FALSE,No
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,11,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,12,FALSE,Yes
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,13,FALSE,Yes
The Body,Bill Bryson,Anchor,2021,14,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,15,TRUE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,2,TRUE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,8,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,9,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,11,FALSE,No
Just Mercy,Bryan Stevenson,One World,2021,12,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,13,TRUE,Yes
The Body,Bill Bryson,Anchor,2021,14,FALSE,Yes
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,2,TRUE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,8,FALSE,No
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,9,FALSE,Yes
Killers of the Flower Moon,David Grann,Vintage,2021,10,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,11,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,12,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,13,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,14,TRUE,Yes
The Choice,Edith Eva Eger,Scribner,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,3,TRUE,No
White Fragility,Robin DiAngelo,Beacon,2021,4,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,5,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,6,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,7,FALSE,Yes
Leaving Isn't The Hardest Thing,Lauren Hough,Vintage,2021,8,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,11,FALSE,No
The Color of Law,Richard Rothstein,Liveright,2021,12,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,13,FALSE,Yes
The Choice,Edith Eva Eger,Scribner,2021,14,FALSE,Yes
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,3,TRUE,No
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2021,6,FALSE,Yes
Leaving Isn't The Hardest Thing,Lauren Hough,Vintage,2021,7,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,8,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,9,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,10,FALSE,Yes
Killers of the Flower Moon,David Grann,Vintage,2021,11,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,12,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,13,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,14,FALSE,Yes
Hidden Valley Road,Robert Kolker,Anchor,2021,15,TRUE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Nomadland,Jessica Bruder,Norton,2021,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,4,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,5,TRUE,No
White Fragility,Robin DiAngelo,Beacon,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,8,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,9,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,10,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,11,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,12,FALSE,No
The Body,Bill Bryson,Anchor,2021,13,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2021,14,FALSE,No
Grit,Angela Duckworth,Scribner,2021,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,2,TRUE,No
Nomadland,Jessica Bruder,Norton,2021,3,FALSE,Yes
Minor Feelings,Cathy Park Hong,One World,2021,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2021,5,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2021,7,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,8,FALSE,Yes
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,9,FALSE,Yes
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,10,FALSE,Yes
Hood Feminism,Mikki Kendall,Penguin,2021,11,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,12,FALSE,No
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,13,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2021,14,FALSE,No
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2,FALSE,Yes
