Title,Author,Publisher,Year on List,Rank on List
The Color of Law,Richard Rothstein,Liveright,2020,3
Alexander Hamilton,Ron Chernow,Penguin,2020,4
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
The New Jim Crow,Michelle Alexander,New Press,2020,6
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,7
Born A Crime,Trevor Noah,Spiegel & Grau,2020,8
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,9
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,10   
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,12
The Great Influenza,John M. Barry,Penguin,2020,13
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,14
Sapiens,Yuval Noah Harari,Harper Perennial,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
On Tyranny,Timothy Snyder,Tim Duggan,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
Walking with the Wind,John Lewis & Michael D'Orso,Simon & Schuster,2020,4
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,5
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6
The Color of Law,Richard Rothstein,Liveright,2020,7
Alexander Hamilton,Ron Chernow,Penguin,2020,8
The New Jim Crow,Michelle Alexander,New Press,2020,9
Born A Crime,Trevor Noah,Spiegel & Grau,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,12
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,13
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,14
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15
On Tyranny,Timothy Snyder,Tim Duggan,2020,1
White Fragility,Robin DiAngelo,Beacon,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4
Walking with the Wind,John Lewis & Michael D'Orso,Simon & Schuster,2020,5
Intimations,Zadie Smith,Penguin,2020,6
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,7
The Color of Law,Richard Rothstein,Liveright,2020,8
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,9
Born A Crime,Trevor Noah,Spiegel & Grau,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
Alexander Hamilton,Ron Chernow,Penguin,2020,12
The New Jim Crow,Michelle Alexander,New Press,2020,13
Across That Bridge,John Lewis,Hachette,2020,14
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
The New Jim Crow,Michelle Alexander,New Press,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
On Tyranny,Timothy Snyder,Tim Duggan,2020,4
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,6
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,7
Walking with the Wind,John Lewis & Michael D'Orso,Simon & Schuster,2020,8   
The Color of Law,Richard Rothstein,Liveright,2020,9
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
Alexander Hamilton,Ron Chernow,Penguin,2020,12
Born A Crime,Trevor Noah,Spiegel & Grau,2020,13
Across That Bridge,John Lewis,Hachette,2020,14
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,2
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,3
The New Jim Crow,Michelle Alexander,New Press,2020,4
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
The Truths We Hold,Kamala Harris,Penguin,2020,7
The Color of Law,Richard Rothstein,Liveright,2020,8
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,9
On Tyranny,Timothy Snyder,Tim Duggan,2020,10
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,11
Alexander Hamilton,Ron Chernow,Penguin,2020,12
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,13
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,14
The Great Influenza,John M. Barry,Penguin,2020,15
Just Mercy,Bryan Stevenson,One World,2020,1
White Fragility,Robin DiAngelo,Beacon,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,4
The New Jim Crow,Michelle Alexander,New Press,2020,5
Born A Crime,Trevor Noah,One World,2020,6
The Color of Law,Richard Rothstein,Liveright,2020,7
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,8
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,9
The Truths We Hold,Kamala Harris,Penguin,2020,10
Alexander Hamilton,Ron Chernow,Penguin,2020,11
Intimations,Zadie Smith,Penguin,2020,12
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,13
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,14
On Tyranny,Timothy Snyder,Tim Duggan,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About,Ijeoma Oluo,Seal,2020,2
Born A Crime,Trevor Noah,One World,2020,3
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,4
Just Mercy,Bryan Stevenson,One World,2020,5
The Color of Law,Richard Rothstein,Liveright,2020,6
The New Jim Crow,Michelle Alexander,New Press,2020,7
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,8
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,9
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10
Alexander Hamilton,Ron Chernow,Penguin,2020,11
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,12
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,13
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,14
On Tyranny,Timothy Snyder,Tim Duggan,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
Just Mercy,Bryan Stevenson,One World,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
Born A Crime,Trevor Noah,One World,2020,4
The New Jim Crow,Michelle Alexander,New Press,2020,5
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,6
The Color of Law,Richard Rothstein,Liveright,2020,7
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,8
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,9
Alexander Hamilton,Ron Chernow,Penguin,2020,10
On Tyranny,Timothy Snyder,Tim Duggan,2020,11
A Woman of No Importance,Sonia Purnell,Penguin,2020,12
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,13   
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,14
Sapiens,Yuval Noah Harari,Harper Perennial,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,4
Born A Crime,Trevor Noah,One World,2020,5
Just Mercy,Bryan Stevenson,One World,2020,6
The Color of Law,Richard Rothstein,Liveright,2020,7
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,8
The New Jim Crow,Michelle Alexander,New Press,2020,9
Our Malady,Timothy Snyder,Crown,2020,10
On Tyranny,Timothy Snyder,Tim Duggan,2020,11
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,12   
A Woman of No Importance,Sonia Purnell,Penguin,2020,13
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,14
Know My Name,Chanel Miller,Penguin,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Just Mercy,Bryan Stevenson,One World,2020,4
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,5
Born A Crime,Trevor Noah,One World,2020,6
The Color of Law,Richard Rothstein,Liveright,2020,7
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,8
The New Jim Crow,Michelle Alexander,New Press,2020,9
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,10   
On Tyranny,Timothy Snyder,Tim Duggan,2020,11
Fear,Bob Woodward,Simon & Schuster,2020,12
Alexander Hamilton,Ron Chernow,Penguin,2020,13
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,14
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1   
White Fragility,Robin DiAngelo,Beacon,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,4
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,5
Just Mercy,Bryan Stevenson,One World,2020,6
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,7
Born A Crime,Trevor Noah,One World,2020,8
The Color of Law,Richard Rothstein,Liveright,2020,9
The New Jim Crow,Michelle Alexander,New Press,2020,10
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,11
Ruth Bader Ginsburg: A Life,Jane Sherron De Hart,Vintage,2020,12
On Tyranny,Timothy Snyder,Tim Duggan,2020,13
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,14
The Truths We Hold,Kamala Harris,Penguin,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1   
White Fragility,Robin DiAngelo,Beacon,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,4
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,5
Just Mercy,Bryan Stevenson,One World,2020,6
Born A Crime,Trevor Noah,One World,2020,7
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
The Color of Law,Richard Rothstein,Liveright,2020,9
The New Jim Crow,Michelle Alexander,New Press,2020,10
The Truths We Hold,Kamala Harris,Penguin,2020,11
Sapiens,Yuval Noah Harari,Harper Perennial,2020,12
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,13
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,14
On Tyranny,Timothy Snyder,Tim Duggan,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2   
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,4
Just Mercy,Bryan Stevenson,One World,2020,5
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,6
The Truths We Hold,Kamala Harris,Penguin,2020,7
The Color of Law,Richard Rothstein,Liveright,2020,8
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,9
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10
The New Jim Crow,Michelle Alexander,New Press,2020,11
Born A Crime,Trevor Noah,One World,2020,12
On Tyranny,Timothy Snyder,Tim Duggan,2020,13
Sapiens,Yuval Noah Harari,Harper Perennial,2020,14
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2   
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
The Color of Law,Richard Rothstein,Liveright,2020,4
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,5
Just Mercy,Bryan Stevenson,One World,2020,6
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,7
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,8
Born A Crime,Trevor Noah,One World,2020,9
The New Jim Crow,Michelle Alexander,New Press,2020,10
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,11
Sapiens,Yuval Noah Harari,Harper Perennial,2020,12
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,13
Hillbilly Elegy,J.D. Vance,Harper,2020,14
The Truths We Hold,Kamala Harris,Penguin,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2   
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
The Color of Law,Richard Rothstein,Liveright,2020,4
Just Mercy,Bryan Stevenson,One World,2020,5
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,6
Shade,Pete Souza,"Voracious/Little Brown",2020,7
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,9
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10
The New Jim Crow,Michelle Alexander,New Press,2020,11
Born A Crime,Trevor Noah,One World,2020,12
Sapiens,Yuval Noah Harari,Harper Perennial,2020,13
Hillbilly Elegy,J.D. Vance,Harper,2020,14
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1   
White Fragility,Robin DiAngelo,Beacon,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Shade,Pete Souza,"Voracious/Little Brown",2020,4
The Color of Law,Richard Rothstein,Liveright,2020,5
Just Mercy,Bryan Stevenson,One World,2020,6
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,7
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,10
The New Jim Crow,Michelle Alexander,New Press,2020,11
Born A Crime,Trevor Noah,One World,2020,12
Sapiens,Yuval Noah Harari,Harper Perennial,2020,13
The Soul of America,Jon Meacham,Random House,2020,14
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,15 
White Fragility,Robin DiAngelo,Beacon,2020,1
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2   
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Shade,Pete Souza,"Voracious/Little Brown",2020,4
The Color of Law,Richard Rothstein,Liveright,2020,5
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,6
The Truths We Hold,Kamala Harris,Penguin,2020,7
Conversations with RBG,Jeffrey Rosen,Picador,2020,8 
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9
Just Mercy,Bryan Stevenson,One World,2020,10
The New Jim Crow,Michelle Alexander,New Press,2020,11
Lead From the Outside,Stacey Abrams,Picador,2020,12
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,13
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,14
Born A Crime,Trevor Noah,One World,2020,15
The Truths We Hold,Kamala Harris,Penguin,2020,1
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2   
Lead From the Outside,Stacey Abrams,Picador,2020,3
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,4
White Fragility,Robin DiAngelo,Beacon,2020,5
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,6
Shade,Pete Souza,"Voracious/Little Brown",2020,7
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9
The Soul of America,Jon Meacham,Random House,2020,10
The Color of Law,Richard Rothstein,Liveright,2020,11
"Promise Me,Dad",Joe Biden,Flatiron,2020,12
The New Jim Crow,Michelle Alexander,New Press,2020,13
Born A Crime,Trevor Noah,One World,2020,14
Sapiens,Yuval Noah Harari,Harper Perennial,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1   
No One Asked For This,Cazzie David,Mariner,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
The Truths We Hold,Kamala Harris,Penguin,2020,4
White Fragility,Robin DiAngelo,Beacon,2020,5
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,6
Shade,Pete Souza,"Voracious/Little Brown",2020,7
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
Sapiens,Yuval Noah Harari,Harper Perennial,2020,9
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,10
Born A Crime,Trevor Noah,One World,2020,11
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,12
Lead From the Outside,Stacey Abrams,Picador,2020,13
The Color of Law,Richard Rothstein,Liveright,2020,14
Dreams From My Father,Barack Obama,Crown,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1   
Hillbilly Elegy,J.D. Vance,Harper,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
The Truths We Hold,Kamala Harris,Penguin,2020,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,5
White Fragility,Robin DiAngelo,Beacon,2020,6
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,7
Sapiens,Yuval Noah Harari,Harper Perennial,2020,8
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,9
Born A Crime,Trevor Noah,One World,2020,10
Shade,Pete Souza,"Voracious/Little Brown",2020,11
The Color of Law,Richard Rothstein,Liveright,2020,12
Lead From the Outside,Stacey Abrams,Picador,2020,13
The New Jim Crow,Michelle Alexander,New Press,2020,14
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,15
Hillbilly Elegy,J.D. Vance,Harper,2020,1
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,2   
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,3
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,4
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,5
The Truths We Hold,Kamala Harris,Penguin,2020,6
Sapiens,Yuval Noah Harari,Harper Perennial,2020,7
White Fragility,Robin DiAngelo,Beacon,2020,8
Born A Crime,Trevor Noah,One World,2020,9
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,11 
The Spy and the Traitor,Ben Macintyre,Broadway,2020,12
The Color of Law,Richard Rothstein,Liveright,2020,13
Edison,Edmund Morris,Random House,2020,14
Just Mercy,Bryan Stevenson,One World,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2020,1   
Hillbilly Elegy,J.D. Vance,Harper,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,4
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,6
The Truths We Hold,Kamala Harris,Penguin,2020,7
Born A Crime,Trevor Noah,One World,2020,8
Just Mercy,Bryan Stevenson,One World,2020,9
A Woman of No Importance,Sonia Purnell,Penguin,2020,10
White Fragility,Robin DiAngelo,Beacon,2020,11
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2020,12
The Spy and the Traitor,Ben Macintyre,Broadway,2020,13
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,14 
The Color of Law,Richard Rothstein,Liveright,2020,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,1   
Hillbilly Elegy,J.D. Vance,Harper,2021,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,3
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4
The Truths We Hold,Kamala Harris,Penguin,2021,5
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6
Born A Crime,Trevor Noah,One World,2021,7
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,8
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2021,9
A Woman of No Importance,Sonia Purnell,Penguin,2021,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,11 
White Fragility,Robin DiAngelo,Beacon,2021,12
Just Mercy,Bryan Stevenson,One World,2021,13
The Color of Law,Richard Rothstein,Liveright,2021,14
Edison,Edmund Morris,Random House,2021,15
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,1   
Hillbilly Elegy,J.D. Vance,Harper,2021,2
The Truths We Hold,Kamala Harris,Penguin,2021,3
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,4
Sapiens,Yuval Noah Harari,Harper Perennial,2021,5
Born A Crime,Trevor Noah,One World,2021,6
White Fragility,Robin DiAngelo,Beacon,2021,7
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,8
Just Mercy,Bryan Stevenson,One World,2021,9
What Unites Us,Dan Rather and Elliot Kirschner,Algonquin,2021,10
A Woman of No Importance,Sonia Purnell,Penguin,2021,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,12 
Edison,Edmund Morris,Random House,2021,13
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,14
The New Jim Crow,Michelle Alexander,New Press,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Hillbilly Elegy,J.D. Vance,Harper,2021,2
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,3   
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4
White Fragility,Robin DiAngelo,Beacon,2021,5
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,7
The Spy and the Traitor,Ben Macintyre,Broadway,2021,8
Born A Crime,Trevor Noah,One World,2021,9
Just Mercy,Bryan Stevenson,One World,2021,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,11 
The New Jim Crow,Michelle Alexander,New Press,2021,12
How To Do Nothing,Jenny Odell,Melville House,2021,13
The Truths We Hold,Kamala Harris,Penguin,2021,14
The Power of Habit,Charles Duhigg,Random House,2021,15
On Tyranny,Timothy Snyder,Tim Duggan,2021,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
White Fragility,Robin DiAngelo,Beacon,2021,4
Hillbilly Elegy,J.D. Vance,Harper,2021,5
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,6   
Sapiens,Yuval Noah Harari,Harper Perennial,2021,7
Just Mercy,Bryan Stevenson,One World,2021,8
Born A Crime,Trevor Noah,One World,2021,9
Lead From the Outside,Stacey Abrams,Picador,2021,10
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,11
The New Jim Crow,Michelle Alexander,New Press,2021,12
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,13
The Color of Law,Richard Rothstein,Liveright,2021,14
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,15 
On Tyranny,Timothy Snyder,Tim Duggan,2021,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,2
White Fragility,Robin DiAngelo,Beacon,2021,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4
Hillbilly Elegy,J.D. Vance,Harper,2021,5
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,6   
Born A Crime,Trevor Noah,One World,2021,7
The New Jim Crow,Michelle Alexander,New Press,2021,8
Just Mercy,Bryan Stevenson,One World,2021,9
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,10
Sapiens,Yuval Noah Harari,Harper Perennial,2021,11
Lead From the Outside,Stacey Abrams,Picador,2021,12
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,13
The Color of Law,Richard Rothstein,Liveright,2021,14
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,15
On Tyranny,Timothy Snyder,Tim Duggan,2021,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,2
The Truths We Hold,Kamala Harris,Penguin,2021,3
White Fragility,Robin DiAngelo,Beacon,2021,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,5
Hillbilly Elegy,J.D. Vance,Harper,2021,6
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,7   
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,8
Born A Crime,Trevor Noah,One World,2021,9
The New Jim Crow,Michelle Alexander,New Press,2021,10
Just Mercy,Bryan Stevenson,One World,2021,11
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,12
Sapiens,Yuval Noah Harari,Harper Perennial,2021,13
The Color of Law,Richard Rothstein,Liveright,2021,14
Lead From the Outside,Stacey Abrams,Picador,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
White Fragility,Robin DiAngelo,Beacon,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
On Tyranny,Timothy Snyder,Tim Duggan,2021,4
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,5
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,6
The Truths We Hold,Kamala Harris,Penguin,2021,7
Born A Crime,Trevor Noah,One World,2021,8
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,9   
Just Mercy,Bryan Stevenson,One World,2021,10
The New Jim Crow,Michelle Alexander,New Press,2021,11
Sapiens,Yuval Noah Harari,Harper Perennial,2021,12
Lead From the Outside,Stacey Abrams,Picador,2021,13
The Color of Law,Richard Rothstein,Liveright,2021,14
The Body,Bill Bryson,Anchor,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
White Fragility,Robin DiAngelo,Beacon,2021,2
The Body,Bill Bryson,Anchor,2021,3
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2021,4
My Own Words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,2021,5   
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,6
Born A Crime,Trevor Noah,One World,2021,7
On Tyranny,Timothy Snyder,Tim Duggan,2021,8
The Color of Law,Richard Rothstein,Liveright,2021,9
So You Want to Talk About Race,Ijeoma Oluo,Seal,2021,10
The New Jim Crow,Michelle Alexander,New Press,2021,11
Just Mercy,Bryan Stevenson,One World,2021,12
The Truths We Hold,Kamala Harris,Penguin,2021,13
Lead From the Outside,Stacey Abrams,Picador,2021,14
Sapiens,Yuval Noah Harari,Harper Perennial,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
