Title,Author,Publisher,Year on List,Rank on List
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2
White Fragility,Robin DiAngelo,Beacon,2020,3
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,4
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,6
Born A Crime,Trevor Noah,Spiegel & Grau,2020,7
Why We Sleep,Matthew Walker,Scribner,2020,8
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,9
Grit,Angela Duckworth,Scribner,2020,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,11
Empire of the Summer Moon,S.C. Gwynne,Scribner,2020,12
Being Mortal,Atul Gawande,Picador,2020,13
Bad Blood,John Carreyrou,Vintage,2020,14
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,15
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1
On Tyranny,Timothy Snyder,Tim Duggan,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4
White Fragility,Robin DiAngelo,Beacon,2020,5
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,6
Born A Crime,Trevor Noah,Spiegel & Grau,2020,7
Why We Sleep,Matthew Walker,Scribner,2020,8
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,11 
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,12 
Bad Blood,John Carreyrou,Vintage,2020,13
Grit,Angela Duckworth,Scribner,2020,14
I Heard You Paint Houses,Charles Brandt,Steerforth,2020,15
On Tyranny,Timothy Snyder,Tim Duggan,2020,1
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4
White Fragility,Robin DiAngelo,Beacon,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,7
Why We Sleep,Matthew Walker,Scribner,2020,8
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,9
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,11
Being Mortal,Atul Gawande,Picador,2020,12
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,13 
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,14
Bad Blood,John Carreyrou,Vintage,2020,15
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1
Say Nothing,Patrick Radden Keefe,Anchor,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
On Tyranny,Timothy Snyder,Tim Duggan,2020,4
White Fragility,Robin DiAngelo,Beacon,2020,5
Sapiens,Yuval Noah Harari,Harper Perennial,2020,6
Born A Crime,Trevor Noah,Spiegel & Grau,2020,7
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,8
Why We Sleep,Matthew Walker,Scribner,2020,9
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,10
Barracoon,Zora Neale Hurston,Amistad,2020,11
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,12
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,13
Winners Take All,Anand Giridharadas,Vintage,2020,14
Grit,Angela Duckworth,Scribner,2020,15
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
White Fragility,Robin DiAngelo,Beacon,2020,4
Say Nothing,Patrick Radden Keefe,Anchor,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
Women Rowing North,Mary Pipher,Bloomsbury,2020,7
On Tyranny,Timothy Snyder,Tim Duggan,2020,8
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,9
Why We Sleep,Matthew Walker,Scribner,2020,10
Chesapeake Requiem,Earl Swift,Dey Street,2020,11
"Thiking,Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,12   
Grit,Angela Duckworth,Scribner,2020,13
Being Mortal,Atul Gawande,Picador,2020,14
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,15
Sapiens,Yuval Noah Harari,Harper Perennial,2020,1
Say Nothing,Patrick Radden Keefe,Anchor,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4
White Fragility,Robin DiAngelo,Beacon,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
The Great Influenza,John M. Barry,Penguin,2020,7
Chesapeake Requiem,Earl Swift,Dey Street,2020,8
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,9
Why We Sleep,Matthew Walker,Scribner,2020,10
Grit,Angela Duckworth,Scribner,2020,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,12
Being Mortal,Atul Gawande,Picador,2020,13
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,14
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2
Say Nothing,Patrick Radden Keefe,Anchor,2020,3
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
Chesapeake Requiem,Earl Swift,Dey Street,2020,7
White Fragility,Robin DiAngelo,Beacon,2020,8
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,9
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,10 
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,11
The Library Book,Susan Orlean,Simon & Schuster,2020,12
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,13
Bad Blood,John Carreyrou,Vintage,2020,14
Calypso,David Sedaris,Back Bay,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4
Say Nothing,Patrick Radden Keefe,Anchor,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
The Fifth Risk,Michael Lewis,Norton,2020,7
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,9
Chesapeake Requiem,Earl Swift,Dey Street,2020,10
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,11
The Library Book,Susan Orlean,Simon & Schuster,2020,12
Maid,Stephanie Land,Hachette,2020,13
Bad Blood,John Carreyrou,Vintage,2020,14
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15
"Wow,No Thank You",Samantha Irby,Vintage,2020,1
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,3
The Great Influenza,John M. Barry,Penguin,2020,4
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5
Say Nothing,Patrick Radden Keefe,Anchor,2020,6
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,7
The Fifth Risk,Michael Lewis,Norton,2020,8
A Woman of No Importance,Sonia Purnell,Penguin,2020,9
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,11
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,12
Unorthodox,Deborah Feldman,Simon & Schuster,2020,13
The Library Book,Susan Orlean,Simon & Schuster,2020,14
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2
A Woman of No Importance,Sonia Purnell,Penguin,2020,3
The Fifth Risk,Michael Lewis,Norton,2020,4
"Wow,No Thank You",Samantha Irby,Vintage,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,7
Unorthodox,Deborah Feldman,Simon & Schuster,2020,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,9  
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,10
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,11
Grit,Angela Duckworth,Scribner,2020,12
Say Nothing,Patrick Radden Keefe,Anchor,2020,13
The Library Book,Susan Orlean,Simon & Schuster,2020,14
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
Born A Crime,Trevor Noah,Spiegel & Grau,2020,2
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3
A Woman of No Importance,Sonia Purnell,Penguin,2020,4
"Wow,No Thank You",Samantha Irby,Vintage,2020,5
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6
Sapiens,Yuval Noah Harari,Harper Perennial,2020,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,8  
The Fifth Risk,Michael Lewis,Norton,2020,9
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,10
Unorthodox,Deborah Feldman,Simon & Schuster,2020,11
Grit,Angela Duckworth,Scribner,2020,12
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,13
Say Nothing,Patrick Radden Keefe,Anchor,2020,14
Leadership,Doris Kearns Goodwin,Simon & Schuster,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2
Born A Crime,Trevor Noah,Spiegel & Grau,2020,3
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4
A Woman of No Importance,Sonia Purnell,Penguin,2020,5
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6
"Wow,No Thank You",Samantha Irby,Vintage,2020,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,8
White Fragility,Robin DiAngelo,Beacon,2020,9
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,11
Grit,Angela Duckworth,Scribner,2020,12
The Fifth Risk,Michael Lewis,Norton,2020,13
The Spy and the Traitor,Ben Macintyre,Broadway,2020,14
Unorthodox,Deborah Feldman,Simon & Schuster,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
A Woman of No Importance,Sonia Purnell,Penguin,2020,2
Sapiens,Yuval Noah Harari,Harper Perennial,2020,3
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,4
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5
"Wow,No Thank You",Samantha Irby,Vintage,2020,6
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,7
Say Nothing,Patrick Radden Keefe,Anchor,2020,8
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,9
Unorthodox,Deborah Feldman,Simon & Schuster,2020,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,11 
Why We Sleep,Matthew Walker,Scribner,2020,12
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,13
Killers of the Flower Moon,David Grann,Vintage,2020,14
White Fragility,Robin DiAngelo,Beacon,2020,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,1
The Great Influenza,John M. Barry,Penguin,2020,2
A Woman of No Importance,Sonia Purnell,Penguin,2020,3
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4
"Wow,No Thank You",Samantha Irby,Vintage,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
Shoe Dog,Phil Knight,Scribner,2020,7
Sapiens,Yuval Noah Harari,Harper Perennial,2020,8
White Fragility,Robin DiAngelo,Beacon,2020,9
The Pioneers,David McCullough,Simon & Schuster,2020,10
Unorthodox,Deborah Feldman,Simon & Schuster,2020,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,12 
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,13
Grit,Angela Duckworth,Scribner,2020,14
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,1
The Great Influenza,John M. Barry,Penguin,2020,2
White Fragility,Robin DiAngelo,Beacon,2020,3
A Woman of No Importance,Sonia Purnell,Penguin,2020,4
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,7
The Pioneers,David McCullough,Simon & Schuster,2020,8
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9
Unorthodox,Deborah Feldman,Simon & Schuster,2020,10
Grit,Angela Duckworth,Scribner,2020,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,12 
The Fifth Risk,Michael Lewis,Norton,2020,13
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,14
"Wow,No Thank You",Samantha Irby,Vintage,2020,15
The Great Influenza,John M. Barry,Penguin,2020,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2
A Woman of No Importance,Sonia Purnell,Penguin,2020,3
White Fragility,Robin DiAngelo,Beacon,2020,4
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,7
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,8
Unorthodox,Deborah Feldman,Simon & Schuster,2020,9
The Pioneers,David McCullough,Simon & Schuster,2020,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,11 
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,12
Grit,Angela Duckworth,Scribner,2020,13
Being Mortal,Atul Gawande,Picador,2020,14
21 Lessons for the 21st Century,Yuval Noah Harari,Spiegel & Grau,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
The Great Influenza,John M. Barry,Penguin,2020,2
The New Jim Crow,Michelle Alexander,New Press,2020,3
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,4
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,5
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6
A Woman of No Importance,Sonia Purnell,Penguin,2020,7
Unorthodox,Deborah Feldman,Simon & Schuster,2020,8
Born A Crime,Trevor Noah,Spiegel & Grau,2020,9
Sapiens,Yuval Noah Harari,Harper Perennial,2020,10
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,11
Grit,Angela Duckworth,Scribner,2020,12
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,13
The Color of Law,Richard Rothstein,Liveright,2020,14
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,15
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,1
White Fragility,Robin DiAngelo,Beacon,2020,2
The Color of Law,Richard Rothstein,Liveright,2020,3
The New Jim Crow,Michelle Alexander,New Press,2020,4
