Date,Title,Author,Rank,Publisher
2020-01-25,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,8,Convergent
2020-01-25,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,9,Penguin
2020-01-25,BEING MORTAL,Atul Gawande,10,Picador
2020-01-25,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-01-25,KILLERS OF THE FLOWER MOON,David Grann,12,Vintage
2020-01-25,GRIT,Angela Duckworth,13,Scribner
2020-01-25,BRAIDING SWEETGRASS,Robin Wall Kimmerer,14,Milkweed Editions
2020-01-25,THE NEW JIM CROW,Michelle Alexander,15,New Press
2020-02-01,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-02-01,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-02-01,BAD BLOOD,John Carreyrou,3,Vintage
2020-02-01,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2020-02-01,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2020-02-01,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-02-01,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,7,Convergent
2020-02-01,WHY WE SLEEP,Matthew Walker,8,Scribner
2020-02-01,GRIT,Angela Duckworth,9,Scribner
2020-02-01,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown"
2020-02-01,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-02-01,BEING MORTAL,Atul Gawande,12,Picador
2020-02-01,KILLERS OF THE FLOWER MOON,David Grann,13,Vintage
2020-02-01,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,14,Penguin
2020-02-01,HILLBILLY ELEGY,JD Vance,15,Harper
2020-02-08,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-02-08,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-02-08,WHITE FRAGILITY,Robin DiAngelo,3,Beacon
2020-02-08,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,4,Simon & Schuster
2020-02-08,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2020-02-08,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,6,Convergent
2020-02-08,BORN A CRIME,Trevor Noah,7,Spiegel & Grau
2020-02-08,WHY WE SLEEP,Matthew Walker,8,Scribner
2020-02-08,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown"
2020-02-08,GRIT,Angela Duckworth,10,Scribner
2020-02-08,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-02-08,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,12,Scribner
2020-02-08,BEING MORTAL,Atul Gawande,13,Picador
2020-02-08,BAD BLOOD,John Carreyrou,14,Vintage
2020-02-08,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin
2020-02-15,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-02-15,ON TYRANNY,Timothy Snyder,2,Tim Duggan
2020-02-15,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-02-15,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2020-02-15,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
