Date,Title,Author,Rank,Publisher
2020-12-05,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2,Simon & Schuster
2020-12-05,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2020-12-05,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin
2020-12-05,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,Vintage
2020-12-05,THE TRUTHS WE HOLD,Kamala Harris,6,Penguin
2020-12-05,SAPIENS,Yuval Noah Harari,7,Harper Perennial
2020-12-05,WHITE FRAGILITY,Robin DiAngelo,8,Beacon
2020-12-05,BORN A CRIME,Trevor Noah,9,One World
2020-12-05,WHAT UNITES US,Dan Rather and Elliot Kirschner,10,Algonquin
2020-12-05,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-12-05,THE SPY AND THE TRAITOR,Ben Macintyre,12,Broadway
2020-12-05,THE COLOR OF LAW,Richard Rothstein,13,Liveright
2020-12-05,EDISON,Edmund Morris,14,Random House
2020-12-05,JUST MERCY,Bryan Stevenson,15,One World
2020-12-12,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster
2020-12-12,HILLBILLY ELEGY,JD Vance,2,Harper
2020-12-12,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-12-12,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2020-12-12,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2020-12-12,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage
2020-12-12,THE TRUTHS WE HOLD,Kamala Harris,7,Penguin
2020-12-12,BORN A CRIME,Trevor Noah,8,One World
2020-12-12,JUST MERCY,Bryan Stevenson,9,One World
2020-12-12,A WOMAN OF NO IMPORTANCE,Sonia Purnell,10,Penguin
2020-12-12,WHITE FRAGILITY,Robin DiAngelo,11,Beacon
2020-12-12,WHAT UNITES US,Dan Rather and Elliot Kirschner,12,Algonquin
2020-12-12,THE SPY AND THE TRAITOR,Ben Macintyre,13,Broadway
2020-12-12,"THINKING, FAST AND SLOW",Daniel Kahneman,14,"Farrar, Straus & Giroux"
2020-12-12,THE COLOR OF LAW,Richard Rothstein,15,Liveright
2020-12-19,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster
2020-12-19,HILLBILLY ELEGY,JD Vance,2,Harper
2020-12-19,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-12-19,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2020-12-19,THE TRUTHS WE HOLD,Kamala Harris,5,Penguin
2020-12-19,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage
2020-12-19,BORN A CRIME,Trevor Noah,7,One World
2020-12-19,BRAIDING SWEETGRASS,Robin Wall Kimmerer,8,Milkweed Editions
2020-12-19,WHAT UNITES US,Dan Rather and Elliot Kirschner,9,Algonquin
2020-12-19,A WOMAN OF NO IMPORTANCE,Sonia Purnell,10,Penguin
2020-12-19,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-12-19,WHITE FRAGILITY,Robin DiAngelo,12,Beacon
2020-12-19,JUST MERCY,Bryan Stevenson,13,One World
2020-12-19,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2020-12-19,EDISON,Edmund Morris,15,Random House
2020-12-26,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1,Simon & Schuster
2020-12-26,HILLBILLY ELEGY,JD Vance,2,Harper
2020-12-26,THE TRUTHS WE HOLD,Kamala Harris,3,Penguin
2020-12-26,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin
2020-12-26,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2020-12-26,BORN A CRIME,Trevor Noah,6,One World
2020-12-26,WHITE FRAGILITY,Robin DiAngelo,7,Beacon
2020-12-26,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage
2020-12-26,JUST MERCY,Bryan Stevenson,9,One World
2020-12-26,WHAT UNITES US,Dan Rather and Elliot Kirschner,10,Algonquin
2020-12-26,A WOMAN OF NO IMPORTANCE,Sonia Purnell,11,Penguin
2020-12-26,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2020-12-26,EDISON,Edmund Morris,13,Random House
2020-12-26,BRAIDING SWEETGRASS,Robin Wall Kimmerer,14,Milkweed Editions
2020-12-26,THE NEW JIM CROW,Michelle Alexander,15,New Press
2021-01-02,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-01-02,HILLBILLY ELEGY,JD Vance,2,Harper
2021-01-02,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,3,Simon & Schuster
2021-01-02,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2021-01-02,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-01-02,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage
2021-01-02,BRAIDING SWEETGRASS,Robin Wall Kimmerer,7,Milkweed Editions
2021-01-02,THE SPY AND THE TRAITOR,Ben Macintyre,8,Broadway
2021-01-02,BORN A CRIME,Trevor Noah,9,One World
2021-01-02,JUST MERCY,Bryan Stevenson,10,One World
2021-01-02,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2021-01-02,THE NEW JIM CROW,Michelle Alexander,12,New Press
2021-01-02,HOW TO DO NOTHING,Jenny Odell,13,Melville House
2021-01-02,THE TRUTHS WE HOLD,Kamala Harris,14,Penguin
2021-01-02,THE POWER OF HABIT,Charles Duhigg,15,Random House
2021-01-09,ON TYRANNY,Timothy Snyder,1,Tim Duggan
2021-01-09,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2021-01-09,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-01-09,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2021-01-09,HILLBILLY ELEGY,JD Vance,5,Harper
2021-01-09,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,6,Simon & Schuster
2021-01-09,SAPIENS,Yuval Noah Harari,7,Harper Perennial
2021-01-09,JUST MERCY,Bryan Stevenson,8,One World
2021-01-09,BORN A CRIME,Trevor Noah,9,One World
2021-01-09,LEAD FROM THE OUTSIDE,Stacey Abrams,10,Picador
2021-01-09,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,11,Vintage
2021-01-09,THE NEW JIM CROW,Michelle Alexander,12,New Press
2021-01-09,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal
2021-01-09,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2021-01-09,"THINKING, FAST AND SLOW",Daniel Kahneman,15,"Farrar, Straus & Giroux"
2021-01-16,ON TYRANNY,Timothy Snyder,1,Tim Duggan
2021-01-16,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2021-01-16,WHITE FRAGILITY,Robin DiAngelo,3,Beacon
2021-01-16,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2021-01-16,HILLBILLY ELEGY,JD Vance,5,Harper
2021-01-16,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,6,Simon & Schuster
2021-01-16,BORN A CRIME,Trevor Noah,7,One World
2021-01-16,THE NEW JIM CROW,Michelle Alexander,8,New Press
2021-01-16,JUST MERCY,Bryan Stevenson,9,One World
2021-01-16,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,10,Vintage
2021-01-16,SAPIENS,Yuval Noah Harari,11,Harper Perennial
2021-01-16,LEAD FROM THE OUTSIDE,Stacey Abrams,12,Picador
2021-01-16,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal
2021-01-16,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2021-01-16,MY GRANDMOTHER'S HANDS,Resmaa Menakem,15,Central Recovery
2021-01-23,ON TYRANNY,Timothy Snyder,1,Tim Duggan
2021-01-23,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2021-01-23,THE TRUTHS WE HOLD,Kamala Harris,3,Penguin
2021-01-23,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2021-01-23,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2021-01-23,HILLBILLY ELEGY,JD Vance,6,Harper
2021-01-23,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,7,Simon & Schuster
2021-01-23,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage
2021-01-23,BORN A CRIME,Trevor Noah,9,One World
2021-01-23,THE NEW JIM CROW,Michelle Alexander,10,New Press
2021-01-23,JUST MERCY,Bryan Stevenson,11,One World
2021-01-23,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,12,Seal
2021-01-23,SAPIENS,Yuval Noah Harari,13,Harper Perennial
2021-01-23,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2021-01-23,LEAD FROM THE OUTSIDE,Stacey Abrams,15,Picador
2021-01-30,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-01-30,WHITE FRAGILITY,Robin DiAngelo,2,Beacon
2021-01-30,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-01-30,ON TYRANNY,Timothy Snyder,4,Tim Duggan
2021-01-30,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,5,Seal
2021-01-30,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage
2021-01-30,THE TRUTHS WE HOLD,Kamala Harris,7,Penguin
2021-01-30,BORN A CRIME,Trevor Noah,8,One World
2021-01-30,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,9,Simon & Schuster
2021-01-30,JUST MERCY,Bryan Stevenson,10,One World
2021-01-30,THE NEW JIM CROW,Michelle Alexander,11,New Press
2021-01-30,SAPIENS,Yuval Noah Harari,12,Harper Perennial
2021-01-30,LEAD FROM THE OUTSIDE,Stacey Abrams,13,Picador
2021-01-30,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2021-01-30,THE BODY,Bill Bryson,15,Anchor
2021-02-06,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-02-06,WHITE FRAGILITY,Robin DiAngelo,2,Beacon
2021-02-06,THE BODY,Bill Bryson,3,Anchor
2021-02-06,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,4,Vintage
2021-02-06,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,5,Simon & Schuster
2021-02-06,BRAIDING SWEETGRASS,Robin Wall Kimmerer,6,Milkweed Editions
2021-02-06,BORN A CRIME,Trevor Noah,7,One World
2021-02-06,ON TYRANNY,Timothy Snyder,8,Tim Duggan
2021-02-06,THE COLOR OF LAW,Richard Rothstein,9,Liveright
2021-02-06,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,10,Seal
2021-02-06,THE NEW JIM CROW,Michelle Alexander,11,New Press
2021-02-06,JUST MERCY,Bryan Stevenson,12,One World
2021-02-06,THE TRUTHS WE HOLD,Kamala Harris,13,Penguin
2021-02-06,LEAD FROM THE OUTSIDE,Stacey Abrams,14,Picador
2021-02-06,SAPIENS,Yuval Noah Harari,15,Harper Perennial
2021-02-13,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-02-13,WHITE FRAGILITY,Robin DiAngelo,2,Beacon
2021-02-13,THE BODY,Bill Bryson,3,Anchor
2021-02-13,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2021-02-13,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,Vintage
2021-02-13,BORN A CRIME,Trevor Noah,6,One World
2021-02-13,JUST MERCY,Bryan Stevenson,7,One World
2021-02-13,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2021-02-13,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,9,Simon & Schuster
2021-02-13,THE NEW JIM CROW,Michelle Alexander,10,New Press
2021-02-13,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,11,Seal
2021-02-13,THE COLOR OF LAW,Richard Rothstein,12,Liveright
2021-02-13,ON TYRANNY,Timothy Snyder,13,Tim Duggan
2021-02-13,THE TRUTHS WE HOLD,Kamala Harris,14,Penguin
2021-02-13,OUTLIERS,Malcolm Gladwell,15,"Back Bay/Little, Brown"
2021-02-20,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-02-20,WHITE FRAGILITY,Robin DiAngelo,2,Beacon
2021-02-20,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-02-20,THE BODY,Bill Bryson,4,Anchor
2021-02-20,NOMADLAND,Jessica Bruder,5,Norton
2021-02-20,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,6,Vintage
2021-02-20,BORN A CRIME,Trevor Noah,7,One World
2021-02-20,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2021-02-20,ON TYRANNY,Timothy Snyder,9,Tim Duggan
2021-02-20,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,10,Seal
2021-02-20,JUST MERCY,Bryan Stevenson,11,One World
2021-02-20,THE NEW JIM CROW,Michelle Alexander,12,New Press
2021-02-20,MY GRANDMOTHER'S HANDS,Resmaa Menakem,13,Central Recovery
2021-02-20,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2021-02-20,OUTLIERS,Malcolm Gladwell,15,"Back Bay/Little, Brown"
2021-02-27,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-02-27,NOMADLAND,Jessica Bruder,2,Norton
2021-02-27,"THINKING, FAST AND SLOW",Daniel Kahneman,3,"Farrar, Straus & Giroux"
2021-02-27,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2021-02-27,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2021-02-27,THE BODY,Bill Bryson,6,Anchor
2021-02-27,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,7,Vintage
2021-02-27,BORN A CRIME,Trevor Noah,8,One World
2021-02-27,WE DO THIS 'TIL WE FREE US,Mariame Kaba,9,Haymarket
2021-02-27,ALL ABOUT LOVE,bell hooks,10,Morrow
2021-02-27,SAPIENS,Yuval Noah Harari,11,Harper Perennial
2021-02-27,JUST MERCY,Bryan Stevenson,12,One World
2021-02-27,HOOD FEMINISM,Mikki Kendall,13,Penguin
2021-02-27,THE COLOR OF LAW,Richard Rothstein,14,Liveright
2021-02-27,THE NEW JIM CROW,Michelle Alexander,15,New Press
2021-03-06,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-03-06,NOMADLAND,Jessica Bruder,2,Norton
2021-03-06,BECOMING,Michelle Obama,3,Crown
2021-03-06,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2021-03-06,HIDDEN VALLEY ROAD,Robert Kolker,5,Anchor
2021-03-06,BRAIDING SWEETGRASS,Robin Wall Kimmerer,6,Milkweed Editions
2021-03-06,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2021-03-06,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,8,Vintage
2021-03-06,SAPIENS,Yuval Noah Harari,9,Harper Perennial
2021-03-06,JUST MERCY,Bryan Stevenson,10,One World
2021-03-06,THE BODY,Bill Bryson,11,Anchor
2021-03-06,HOOD FEMINISM,Mikki Kendall,12,Penguin
2021-03-06,BORN A CRIME,Trevor Noah,13,One World
2021-03-06,THE CHOICE,Edith Eva Eger,14,Scribner
2021-03-06,THE COLOR OF LAW,Richard Rothstein,15,Liveright
2021-03-13,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-03-13,BECOMING,Michelle Obama,2,Crown
2021-03-13,NOMADLAND,Jessica Bruder,3,Norton
2021-03-13,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2021-03-13,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-03-13,THE BODY,Bill Bryson,6,Anchor
2021-03-13,BORN A CRIME,Trevor Noah,7,One World
2021-03-13,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2021-03-13,HOOD FEMINISM,Mikki Kendall,9,Penguin
2021-03-13,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,10,Vintage
2021-03-13,SAPIENS,Yuval Noah Harari,11,Harper Perennial
2021-03-13,THE COLOR OF LAW,Richard Rothstein,12,Liveright
2021-03-13,HIDDEN VALLEY ROAD,Robert Kolker,13,Anchor
2021-03-13,WE DO THIS 'TIL WE FREE US,Mariame Kaba,14,Haymarket
2021-03-13,THE CHOICE,Edith Eva Eger,15,Scribner
2021-03-20,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-03-20,BECOMING,Michelle Obama,2,Crown
2021-03-20,NOMADLAND,Jessica Bruder,3,Norton
2021-03-20,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2021-03-20,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-03-20,FRONT ROW AT THE TRUMP SHOW,Jonathan Karl,6,Dutton
2021-03-20,MINOR FEELINGS,Cathy Park Hong,7,One World
2021-03-20,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2021-03-20,BORN A CRIME,Trevor Noah,9,One World
2021-03-20,SAPIENS,Yuval Noah Harari,10,Harper Perennial
2021-03-20,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,11,Vintage
2021-03-20,THE COLOR OF LAW,Richard Rothstein,12,Liveright
2021-03-20,HOOD FEMINISM,Mikki Kendall,13,Penguin
2021-03-20,THE BODY,Bill Bryson,14,Anchor
2021-03-20,HIDDEN VALLEY ROAD,Robert Kolker,15,Anchor
2021-03-27,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-03-27,BECOMING,Michelle Obama,2,Crown
2021-03-27,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-03-27,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2021-03-27,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2021-03-27,MINOR FEELINGS,Cathy Park Hong,6,One World
2021-03-27,NOMADLAND,Jessica Bruder,7,Norton
2021-03-27,JUST MERCY,Bryan Stevenson,8,One World
2021-03-27,BORN A CRIME,Trevor Noah,9,One World
2021-03-27,"THINKING, FAST AND SLOW",Daniel Kahneman,10,"Farrar, Straus & Giroux"
2021-03-27,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,11,Vintage
2021-03-27,HOOD FEMINISM,Mikki Kendall,12,Penguin
2021-03-27,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal
2021-03-27,THE BODY,Bill Bryson,14,Anchor
2021-03-27,HIDDEN VALLEY ROAD,Robert Kolker,15,Anchor
2021-04-03,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-04-03,BECOMING,Michelle Obama,2,Crown
2021-04-03,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-04-03,MINOR FEELINGS,Cathy Park Hong,4,One World
2021-04-03,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-04-03,SAPIENS,Yuval Noah Harari,6,Harper Perennial
2021-04-03,BORN A CRIME,Trevor Noah,7,One World
2021-04-03,HOOD FEMINISM,Mikki Kendall,8,Penguin
2021-04-03,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,9,Vintage
2021-04-03,NOMADLAND,Jessica Bruder,10,Norton
2021-04-03,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2021-04-03,JUST MERCY,Bryan Stevenson,12,One World
2021-04-03,HIDDEN VALLEY ROAD,Robert Kolker,13,Anchor
2021-04-03,THE BODY,Bill Bryson,14,Anchor
2021-04-03,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,15,Simon & Schuster
2021-04-10,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-04-10,BECOMING,Michelle Obama,2,Crown
2021-04-10,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-04-10,MINOR FEELINGS,Cathy Park Hong,4,One World
2021-04-10,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-04-10,SAPIENS,Yuval Noah Harari,6,Harper Perennial
2021-04-10,BORN A CRIME,Trevor Noah,7,One World
2021-04-10,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2021-04-10,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,9,Seal
2021-04-10,KILLERS OF THE FLOWER MOON,David Grann,10,Vintage
2021-04-10,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,11,Vintage
2021-04-10,HOOD FEMINISM,Mikki Kendall,12,Penguin
2021-04-10,NOMADLAND,Jessica Bruder,13,Norton
2021-04-10,HIDDEN VALLEY ROAD,Robert Kolker,14,Anchor
2021-04-10,THE CHOICE,Edith Eva Eger,15,Scribner
2021-04-17,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-04-17,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2021-04-17,BECOMING,Michelle Obama,3,Crown
2021-04-17,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2021-04-17,MINOR FEELINGS,Cathy Park Hong,5,One World
2021-04-17,SAPIENS,Yuval Noah Harari,6,Harper Perennial
2021-04-17,NOMADLAND,Jessica Bruder,7,Norton
2021-04-17,LEAVING ISN'T THE HARDEST THING,Lauren Hough,8,Vintage
2021-04-17,BORN A CRIME,Trevor Noah,9,One World
2021-04-17,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,10,Vintage
2021-04-17,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2021-04-17,THE COLOR OF LAW,Richard Rothstein,12,Liveright
2021-04-17,JUST MERCY,Bryan Stevenson,13,One World
2021-04-17,THE CHOICE,Edith Eva Eger,14,Scribner
2021-04-17,MY GRANDMOTHER'S HANDS,Resmaa Menakem,15,Central Recovery
2021-04-24,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-04-24,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2021-04-24,BECOMING,Michelle Obama,3,Crown
2021-04-24,MY GRANDMOTHER'S HANDS,Resmaa Menakem,4,Central Recovery
2021-04-24,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-04-24,JUST MERCY,Bryan Stevenson,6,One World
2021-04-24,LEAVING ISN'T THE HARDEST THING,Lauren Hough,7,Vintage
2021-04-24,MINOR FEELINGS,Cathy Park Hong,8,One World
2021-04-24,BORN A CRIME,Trevor Noah,9,One World
2021-04-24,SAPIENS,Yuval Noah Harari,10,Harper Perennial
2021-04-24,KILLERS OF THE FLOWER MOON,David Grann,11,Vintage
2021-04-24,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,12,Vintage
2021-04-24,NOMADLAND,Jessica Bruder,13,Norton
2021-04-24,HOOD FEMINISM,Mikki Kendall,14,Penguin
2021-04-24,HIDDEN VALLEY ROAD,Robert Kolker,15,Anchor
2021-05-01,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-05-01,NOMADLAND,Jessica Bruder,2,Norton
2021-05-01,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-05-01,MY GRANDMOTHER'S HANDS,Resmaa Menakem,4,Central Recovery
2021-05-01,BECOMING,Michelle Obama,5,Crown
2021-05-01,WHITE FRAGILITY,Robin DiAngelo,6,Beacon
2021-05-01,BORN A CRIME,Trevor Noah,7,One World
2021-05-01,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2021-05-01,MINOR FEELINGS,Cathy Park Hong,9,One World
2021-05-01,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,10,Vintage
2021-05-01,HOOD FEMINISM,Mikki Kendall,11,Penguin
2021-05-01,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2021-05-01,THE BODY,Bill Bryson,13,Anchor
2021-05-01,OUTLIERS,Malcolm Gladwell,14,"Back Bay/Little, Brown"
2021-05-01,GRIT,Angela Duckworth,15,Scribner
2021-05-08,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-05-08,BECOMING,Michelle Obama,2,Crown
2021-05-08,NOMADLAND,Jessica Bruder,3,Norton
2021-05-08,MINOR FEELINGS,Cathy Park Hong,4,One World
2021-05-08,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2021-05-08,BRAIDING SWEETGRASS,Robin Wall Kimmerer,6,Milkweed Editions
2021-05-08,BORN A CRIME,Trevor Noah,7,One World
2021-05-08,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2021-05-08,MY GRANDMOTHER'S HANDS,Resmaa Menakem,9,Central Recovery
2021-05-08,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,10,Vintage
2021-05-08,HOOD FEMINISM,Mikki Kendall,11,Penguin
2021-05-08,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2021-05-08,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,13,Seal
2021-05-08,OUTLIERS,Malcolm Gladwell,14,"Back Bay/Little, Brown"
2021-05-08,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,15,Simon & Schuster
2021-05-15,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-05-15,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2021-05-15,PRESS RESET,Jason Schreier,3,Grand Central
2021-05-15,BECOMING,Michelle Obama,4,Crown
2021-05-15,KILLERS OF THE FLOWER MOON,David Grann,5,Vintage
2021-05-15,WHITE FRAGILITY,Robin DiAngelo,6,Beacon
2021-05-15,NOMADLAND,Jessica Bruder,7,Norton
2021-05-15,BORN A CRIME,Trevor Noah,8,One World
2021-05-15,SAPIENS,Yuval Noah Harari,9,Harper Perennial
2021-05-15,MY GRANDMOTHER'S HANDS,Resmaa Menakem,10,Central Recovery
2021-05-15,JUST MERCY,Bryan Stevenson,11,One World
2021-05-15,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2021-05-15,THE COLOR OF LAW,Richard Rothstein,13,Liveright
2021-05-15,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,14,Vintage
2021-05-15,GRIT,Angela Duckworth,15,Scribner
2021-05-22,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-05-22,JUST MERCY,Bryan Stevenson,2,One World
2021-05-22,WHITE FRAGILITY,Robin DiAngelo,3,Beacon
2021-05-22,BORN A CRIME,Trevor Noah,4,One World
2021-05-22,BECOMING,Michelle Obama,5,Crown
2021-05-22,KILLERS OF THE FLOWER MOON,David Grann,6,Vintage
2021-05-22,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2021-05-22,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2021-05-22,NOMADLAND,Jessica Bruder,9,Norton
2021-05-22,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions
