,Date,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Rating,Awards Count,Publication Season
55,2020-01-11,BEING MORTAL,Atul Gawande,11,Picador,111,False,4.49,3.0,Fall
56,2020-01-11,HOW TO CHANGE YOUR MIND,Michael Pollan,12,Penguin,19,False,4.27,1.0,Summer
57,2020-01-11,SHOE DOG,Phil Knight,13,Scribner,42,False,4.47,1.0,Fall
58,2020-01-11,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,14,Scribner,61,False,4.24,3.0,Summer
59,2020-01-11,HILLBILLY ELEGY,JD Vance,15,Harper,51,False,3.86,5.0,Summer
60,2020-01-18,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,188,False,4.63,8.0,Summer
61,2020-01-18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,65,False,4.38,0.0,Fall
62,2020-01-18,SAPIENS,Yuval Noah Harari,3,Harper Perennial,88,False,4.35,2.0,Spring
63,2020-01-18,BORN A CRIME,Trevor Noah,4,Spiegel & Grau,49,False,4.49,6.0,Fall
64,2020-01-18,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,76,False,4.17,0.0,Summer
65,2020-01-18,WHY WE SLEEP,Matthew Walker,6,Scribner,39,False,4.38,1.0,Fall
66,2020-01-18,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux",233,False,4.18,4.0,Fall
67,2020-01-18,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",309,False,4.19,0.0,Fall
68,2020-01-18,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,9,Convergent,1,False,3.94,0.0,Fall
69,2020-01-18,THE SOUL OF AN OCTOPUS,Sy Montgomery,10,Atria,3,False,3.93,3.0,Summer
70,2020-01-18,BEING MORTAL,Atul Gawande,11,Picador,112,False,4.49,3.0,Fall
71,2020-01-18,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,12,Penguin,10,False,3.86,1.0,Fall
72,2020-01-18,HILLBILLY ELEGY,JD Vance,13,Harper,52,False,3.86,5.0,Summer
73,2020-01-18,KILLERS OF THE FLOWER MOON,David Grann,14,Vintage,73,False,4.14,8.0,Spring
74,2020-01-18,GRIT,Angela Duckworth,15,Scribner,63,False,4.08,1.0,Fall
75,2020-01-25,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,189,False,4.63,8.0,Summer
76,2020-01-25,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,66,False,4.38,0.0,Fall
77,2020-01-25,SAPIENS,Yuval Noah Harari,3,Harper Perennial,89,False,4.35,2.0,Spring
78,2020-01-25,BORN A CRIME,Trevor Noah,4,Spiegel & Grau,50,False,4.49,6.0,Fall
79,2020-01-25,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,77,False,4.17,0.0,Summer
80,2020-01-25,OUTLIERS,Malcolm Gladwell,6,"Back Bay/Little, Brown",310,False,4.19,0.0,Fall
81,2020-01-25,WHY WE SLEEP,Matthew Walker,7,Scribner,40,False,4.38,1.0,Fall
82,2020-01-25,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,8,Convergent,2,False,3.94,0.0,Fall
83,2020-01-25,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,9,Penguin,11,False,3.86,1.0,Fall
84,2020-01-25,BEING MORTAL,Atul Gawande,10,Picador,113,False,4.49,3.0,Fall
85,2020-01-25,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",234,False,4.18,4.0,Fall
86,2020-01-25,KILLERS OF THE FLOWER MOON,David Grann,12,Vintage,74,False,4.14,8.0,Spring
87,2020-01-25,GRIT,Angela Duckworth,13,Scribner,64,False,4.08,1.0,Fall
88,2020-01-25,BRAIDING SWEETGRASS,Robin Wall Kimmerer,14,Milkweed Editions,1,False,4.53,2.0,Fall
89,2020-01-25,THE NEW JIM CROW,Michelle Alexander,15,New Press,187,False,4.52,0.0,Spring
90,2020-02-01,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,190,False,4.63,8.0,Summer
91,2020-02-01,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,67,False,4.38,0.0,Fall
92,2020-02-01,BAD BLOOD,John Carreyrou,3,Vintage,1,False,4.41,3.0,Spring
93,2020-02-01,SAPIENS,Yuval Noah Harari,4,Harper Perennial,90,False,4.35,2.0,Spring
94,2020-02-01,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,78,False,4.17,0.0,Summer
95,2020-02-01,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,51,False,4.49,6.0,Fall
96,2020-02-01,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,7,Convergent,3,False,3.94,0.0,Fall
97,2020-02-01,WHY WE SLEEP,Matthew Walker,8,Scribner,41,False,4.38,1.0,Fall
98,2020-02-01,GRIT,Angela Duckworth,9,Scribner,65,False,4.08,1.0,Fall
99,2020-02-01,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",311,False,4.19,0.0,Fall
100,2020-02-01,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",235,False,4.18,4.0,Fall
101,2020-02-01,BEING MORTAL,Atul Gawande,12,Picador,114,False,4.49,3.0,Fall
102,2020-02-01,KILLERS OF THE FLOWER MOON,David Grann,13,Vintage,75,False,4.14,8.0,Spring
103,2020-02-01,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,14,Penguin,12,False,3.86,1.0,Fall
104,2020-02-01,HILLBILLY ELEGY,JD Vance,15,Harper,53,False,3.86,5.0,Summer
105,2020-02-08,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,191,False,4.63,8.0,Summer
106,2020-02-08,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,68,False,4.38,0.0,Fall
107,2020-02-08,WHITE FRAGILITY,Robin DiAngelo,3,Beacon,79,False,4.17,0.0,Summer
108,2020-02-08,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,4,Simon & Schuster,1,False,4.37,5.0,Spring
109,2020-02-08,SAPIENS,Yuval Noah Harari,5,Harper Perennial,91,False,4.35,2.0,Spring
110,2020-02-08,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,6,Convergent,4,False,3.94,0.0,Fall
111,2020-02-08,BORN A CRIME,Trevor Noah,7,Spiegel & Grau,52,False,4.49,6.0,Fall
112,2020-02-08,WHY WE SLEEP,Matthew Walker,8,Scribner,42,False,4.38,1.0,Fall
113,2020-02-08,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",312,False,4.19,0.0,Fall
114,2020-02-08,GRIT,Angela Duckworth,10,Scribner,66,False,4.08,1.0,Fall
115,2020-02-08,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",236,False,4.18,4.0,Fall
116,2020-02-08,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,12,Scribner,62,False,4.24,3.0,Summer
117,2020-02-08,BEING MORTAL,Atul Gawande,13,Picador,115,False,4.49,3.0,Fall
